Pergunta;Resposta
Como faço para saber se o meu documento está pronto?;Consulte o requerimento pelo Aluno Online em Serviços online > Consulta de requerimentos solicitados > Detalhes. Atenção: Aluno com o curso cancelado não possui acesso à ferramenta.
Não recebi o boleto, como faço para ter uma segunda via?;Acesse o Aluno Online > Financeiro > Impressão de boletos.
Meu boleto venceu e eu não paguei, como faço para conseguir uma segunda via?;Acesse o Aluno Online > Financeiro > Atualização de boletos.
Como consigo a nota fiscal de uma mensalidade?;Acesse o Aluno Online > Financeiro > Nota Fiscal Eletrônica.
Como escolher uma disciplina optativa?;Acesse o Aluno Online > Serviços Online > Matrícula Graduação / Stricto sensu> Escolha a optativa.
Tenho desconto se pagar o semestre antecipadamente?;O desconto é sobre as parcelas a serem faturadas e deve ser solicitado via requerimento online.
Como faço para trocar de turma?;Acesse o Aluno Online > Serviços online > Solicitação de requerimento> Troca de turma > Insira no campo observação o nome da pessoa que irá fazer a troca com você. É necessário que os dois alunos abram esse requerimento para que o apoio acadêmico faça a análise da troca.
Como faço para trocar de turma com DP?;Acesse o Aluno Online > Serviços Online > Solicitação de requerimento > Troca de turma > Insira no campo observação o nome da pessoa que irá fazer a troca com você. É necessário que os dois alunos abram esse requerimento para que o apoio acadêmico faça a análise da troca.
Estou matriculado somente nas minhas três dependências. Como faço para me matricular nas disciplinas do semestre regular?;Para cursar as três dependências juntamente com o período seguinte, totalizando oito disciplinas, você deverá preencher solicitação no Aluno Online > Serviços Online > Cursar 8 disciplinas, no prazo definido no calendário do curso. 
Estou matriculado somente na minha DP linha. Como faço para me matricular nas dependências?;Para cursar DP linha juntamente com outras dependências, até o limite de cinco disciplinas no semestre, você deverá preencher solicitação no Aluno Online (Aluno Online > Serviços Online > Cursar DP com DP linha) no prazo definido no calendário do curso.
Como faço para cursar somente as dependências?;O trancamento parcial de disciplinas também é possível ao aluno que estiver cursando dependências juntamente às disciplinas regulares do período subsequente. O trancamento do currículo regular deverá ser solicitado via requerimento online, observando-se o prazo definido em calendário do curso.
Como faço para justificar uma falta?;Preencher o requerimento de justificativa de ausência via Aluno Online e anexar os documentos comprobatórios necessários. Consultar as regras no Manual de Procedimentos.
Estou com problema de saúde, quem eu procuro?;Compareça ao MultiInsper com o laudo médico.
Quando pode fazer intercâmbio pelo Insper?;Nos cursos de 4 anos pode fazer intercâmbio entre o quinto e o oitavo semestre. Já nos cursos de 5 anos, o intercâmbio pode ser feito entre o sétimo e o décimo semestre.
Tem estacionamento no Insper?;Sim, cada prédio possui um estacionamento. Eles são terceirizados e pagos à parte.
Quantos anos dura o curso de Ciência de Computação?;O curso de Ciência da Computação tem duração de 4 anos.
Quantos anos dura o curso de Engenharia Mecânica?;O curso de Engenharia Mecânica tem duração de 5 anos.
Quantos anos dura o curso de Engenharia Mecatrônica?;O curso de Engenharia Mecatrônica tem duração de 5 anos.
Quantos anos dura o curso de Engenharia de Computação?;O curso de Engenharia de Produção tem duração de 5 anos.
Quantos anos dura a dupla graduação de Economia e Administração?;Após finalizar a graduação em Administração ou vice-versa, o aluno cursa mais um ano para concluir a graduação em Economia, totalizando 5 anos.
Em qual semestre é realizado o Projeto Final de Engenharia?;O Projeto Final de Engenharia é realizado no 8º semestre.
A partir de qual semestre posso fazer estágio?;Todos os cursos permitem estágio a no último ano de curso.
Onde posso consultar meu horário de aula?;Ou pelo aplicativo do insper, ou pelas telas de horário espalhadas pelo campus.
É possível fazer transferência interna de curso?;É possível transferir entre Engenharias e entre Administração e Economia. Nos outros casos, é necessário refazer o vestibular.
